support,itemsets
0.23666666666666666,"frozenset({'save_act_ YES', 'mortgage_NO', 'pep_NO'})"
0.235,"frozenset({'Car_YES', 'current_act_ YES', 'children(0_1)'})"
0.235,"frozenset({'save_act_ YES', 'Car_YES', 'mortgage_NO'})"
0.23333333333333334,"frozenset({'Married_YES', 'age(50.667, 67.0)'})"
0.23333333333333334,"frozenset({'Car_NO', 'Married_YES', 'children(0_1)'})"
0.23333333333333334,"frozenset({'save_act_ YES', 'pep_YES', 'current_act_ YES'})"
0.23333333333333334,"frozenset({'save_act_ YES', 'MALE', 'Married_YES'})"
0.23166666666666666,"frozenset({'Car_NO', 'INNER_CITY'})"
0.23166666666666666,"frozenset({'INNER_CITY', 'current_act_ YES', 'children(0_1)'})"
0.23,"frozenset({'age(34.333, 50.667)', 'current_act_ YES', 'income(4956.094, 24386.173)'})"
0.23,"frozenset({'save_act_ YES', 'mortgage_NO', 'FEMALE'})"
0.23,"frozenset({'mortgage_NO', 'Married_YES', 'FEMALE'})"
0.23,"frozenset({'mortgage_NO', 'age(50.667, 67.0)'})"
0.23,"frozenset({'Car_YES', 'pep_YES'})"
0.23,"frozenset({'MALE', 'INNER_CITY'})"
0.22833333333333333,"frozenset({'save_act_ YES', 'Married_NO'})"
0.22833333333333333,"frozenset({'save_act_ YES', 'Married_YES', 'FEMALE'})"
0.22666666666666666,"frozenset({'mortgage_NO', 'INNER_CITY', 'current_act_ YES'})"
0.22666666666666666,"frozenset({'income(4956.094, 24386.173)', 'FEMALE'})"
0.22666666666666666,"frozenset({'MALE', 'Married_YES', 'children(0_1)'})"
0.22666666666666666,"frozenset({'Car_NO', 'pep_YES'})"
0.22666666666666666,"frozenset({'income(4956.094, 24386.173)', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'save_act_ NO', 'current_act_ YES'})"
0.22666666666666666,"frozenset({'INNER_CITY', 'current_act_ YES', 'Married_YES'})"
0.22666666666666666,"frozenset({'save_act_ YES', 'INNER_CITY', 'current_act_ YES'})"
0.225,"frozenset({'save_act_ YES', 'MALE', 'children(0_1)'})"
0.225,"frozenset({'mortgage_YES', 'Married_YES'})"
0.225,"frozenset({'Car_NO', 'save_act_ YES', 'children(0_1)'})"
0.225,"frozenset({'save_act_ YES', 'Married_YES', 'current_act_ YES', 'children(0_1)'})"
0.22333333333333333,frozenset({'children(1_2)'})
0.22333333333333333,"frozenset({'save_act_ YES', 'mortgage_NO', 'current_act_ YES', 'children(0_1)'})"
0.22333333333333333,"frozenset({'save_act_ YES', 'FEMALE', 'children(0_1)'})"
0.22333333333333333,"frozenset({'save_act_ YES', 'Car_YES', 'children(0_1)'})"
0.22166666666666668,"frozenset({'Married_YES', 'FEMALE', 'children(0_1)'})"
0.22166666666666668,"frozenset({'mortgage_NO', 'Married_YES', 'current_act_ YES', 'children(0_1)'})"
0.22166666666666668,"frozenset({'Car_NO', 'mortgage_NO', 'Married_YES'})"
0.22166666666666668,"frozenset({'Car_NO', 'save_act_ YES', 'Married_YES'})"
0.22166666666666668,"frozenset({'income(4956.094, 24386.173)', 'mortgage_NO', 'Married_YES'})"
0.22166666666666668,"frozenset({'income(4956.094, 24386.173)', 'Married_YES', 'children(0_1)'})"
0.22,"frozenset({'save_act_ YES', 'income(4956.094, 24386.173)', 'current_act_ YES'})"
0.22,"frozenset({'save_act_ YES', 'mortgage_NO', 'MALE'})"
0.22,"frozenset({'income(4956.094, 24386.173)', 'pep_NO', 'current_act_ YES'})"
0.21833333333333332,"frozenset({'Car_NO', 'mortgage_NO', 'children(0_1)'})"
0.21833333333333332,"frozenset({'INNER_CITY', 'FEMALE'})"
0.21666666666666667,"frozenset({'Married_NO', 'mortgage_NO'})"
0.21666666666666667,"frozenset({'Car_YES', 'INNER_CITY'})"
0.21666666666666667,"frozenset({'pep_YES', 'FEMALE'})"
0.21666666666666667,"frozenset({'save_act_ YES', 'pep_NO', 'Married_YES', 'current_act_ YES'})"
0.21666666666666667,"frozenset({'mortgage_NO', 'FEMALE', 'children(0_1)'})"
0.215,"frozenset({'save_act_ NO', 'children(0_1)'})"
0.215,"frozenset({'Car_NO', 'save_act_ YES', 'mortgage_NO'})"
0.215,"frozenset({'Car_YES', 'Married_YES', 'children(0_1)'})"
0.215,"frozenset({'Car_YES', 'income(24386.173, 43758.137)'})"
0.215,"frozenset({'mortgage_NO', 'pep_NO', 'Married_YES', 'current_act_ YES'})"
0.215,"frozenset({'Married_NO', 'children(0_1)'})"
0.21333333333333335,"frozenset({'save_act_ YES', 'mortgage_NO', 'pep_YES'})"
0.21333333333333335,"frozenset({'Car_YES', 'mortgage_NO', 'Married_YES'})"
0.21333333333333335,"frozenset({'age(34.333, 50.667)', 'Married_YES'})"
0.21333333333333335,"frozenset({'age(17.951, 34.333)', 'Married_YES'})"
0.21333333333333335,"frozenset({'age(17.951, 34.333)', 'mortgage_NO'})"
0.21333333333333335,"frozenset({'income(4956.094, 24386.173)', 'pep_NO', 'Married_YES'})"
0.21333333333333335,"frozenset({'save_act_ YES', 'TOWN'})"
0.21333333333333335,"frozenset({'mortgage_NO', 'pep_YES', 'children(0_1)'})"
0.21333333333333335,"frozenset({'current_act_ YES', 'TOWN'})"
0.21333333333333335,"frozenset({'FEMALE', 'pep_NO', 'current_act_ YES'})"
0.21166666666666667,"frozenset({'pep_NO', 'Married_YES', 'FEMALE'})"
0.21,"frozenset({'Car_NO', 'pep_NO', 'Married_YES'})"
0.20833333333333334,"frozenset({'Married_YES', 'INNER_CITY', 'children(0_1)'})"
0.20833333333333334,"frozenset({'age(34.333, 50.667)', 'children(0_1)'})"
0.20833333333333334,"frozenset({'Car_NO', 'pep_NO', 'current_act_ YES'})"
0.20833333333333334,"frozenset({'age(34.333, 50.667)', 'mortgage_NO'})"
0.20666666666666667,"frozenset({'age(34.333, 50.667)', 'pep_NO'})"
0.20666666666666667,"frozenset({'income(24386.173, 43758.137)', 'pep_NO'})"
0.20666666666666667,"frozenset({'save_act_ YES', 'income(24386.173, 43758.137)', 'current_act_ YES'})"
0.205,"frozenset({'income(24386.173, 43758.137)', 'age(50.667, 67.0)'})"
0.205,"frozenset({'Car_YES', 'income(4956.094, 24386.173)'})"
0.205,"frozenset({'income(24386.173, 43758.137)', 'FEMALE'})"
0.205,"frozenset({'pep_YES', 'INNER_CITY'})"
0.205,"frozenset({'save_act_ YES', 'pep_YES', 'children(0_1)'})"
0.205,"frozenset({'mortgage_NO', 'MALE', 'Married_YES'})"
0.20333333333333334,"frozenset({'save_act_ YES', 'pep_NO', 'FEMALE'})"
0.20333333333333334,"frozenset({'Car_NO', 'income(4956.094, 24386.173)', 'current_act_ YES'})"
0.20166666666666666,"frozenset({'income(4956.094, 24386.173)', 'mortgage_NO', 'children(0_1)'})"
0.20166666666666666,"frozenset({'age(17.951, 34.333)', 'children(0_1)'})"
0.20166666666666666,"frozenset({'mortgage_NO', 'save_act_ NO'})"
0.2,"frozenset({'Married_NO', 'pep_YES'})"
0.2,"frozenset({'save_act_ YES', 'mortgage_NO', 'pep_NO', 'Married_YES'})"
0.2,"frozenset({'mortgage_NO', 'pep_NO', 'children(0_1)'})"
0.2,"frozenset({'save_act_ YES', 'INNER_CITY', 'Married_YES'})"
0.2,"frozenset({'Car_NO', 'FEMALE', 'current_act_ YES'})"
