Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
4.485,1.002,1.003199587275558,5.937,2.307,2.065,1.046,0.5359,2.33,5.005,5.399,0.208,5.685,4.922,2.61025829893963
4.645,0.8838,0.7433921392754334,5.803,2.393,2.108,1.028,0.6116,2.393,5.192,5.266,0.17,5.377,4.878,2.6030660116062863
4.595,1.084,1.0420019983405118,5.874,2.299,2.05,1.056,0.6152,2.363,5.0,5.255,1.0,5.731,5.818,2.686100166528376
4.504,0.8521,0.9694583602625546,5.914,2.334,2.107,1.099,0.5298,2.198,4.923,5.359,0.123,5.645,4.825,2.576029863355213
4.44,1.047,0.7104944429377555,5.861,2.301,2.144,0.9485,0.5859,2.336,5.133,5.509,0.235,5.338,4.952,2.604241203578146
4.432,0.9375,1.1735927836912239,5.868,2.352,2.096,0.9729,0.5969,2.363,5.131,5.476,0.936,5.887,5.746,2.694574398640935
4.54,1.005,0.9947642805223071,5.862,2.231,2.01,1.101,0.6909,2.371,5.01,5.276,0.708,5.675,5.488,2.6499720233768587
4.656,1.029,0.9753630749898307,5.916,2.341,2.08,1.021,0.6812,2.311,4.998,5.293,0.875,5.652,5.677,2.681380256249153
4.636,0.9265,0.9635536455352793,5.854,2.29,2.072,1.006,0.5713,2.324,5.156,5.53,0.493,5.638,5.244,2.6518628037946064
4.425,0.9534,0.9804242590417813,5.859,2.308,2.142,1.068,0.481,2.349,5.162,5.411,0.557,5.658,5.317,2.641318688253482
4.49,0.9668,0.7830380810157126,5.916,2.288,2.025,1.024,0.5261,2.301,5.247,5.417,0.455,5.424,5.201,2.6199115067513095
4.562,1.003,0.7813510196650619,5.847,2.139,2.036,1.005,0.5811,2.361,4.923,5.291,0.755,5.422,5.541,2.6070375849720886
4.65,0.9961,0.9618665841846293,5.813,2.096,2.155,1.023,0.5066,2.275,5.039,5.344,0.079,5.636,4.775,2.5782138820153855
4.617,1.016,0.8176228387040405,5.864,2.223,1.991,0.9973,0.6628,2.394,5.133,5.461,0.767,5.465,5.554,2.6619769032253364
4.546,0.9644,0.9247512344703254,5.933,2.263,2.039,1.133,0.5786,2.288,4.913,5.309,0.829,5.592,5.624,2.6433959362058608
4.362,0.968,1.0268184461846603,5.82,2.244,2.015,1.066,0.553,2.308,5.084,5.45,0.784,5.713,5.573,2.6400682038487218
4.438,0.9534,0.746766261976734,5.852,2.311,2.041,0.9924,0.5432,2.402,4.988,5.458,0.381,5.381,5.117,2.5922305218313944
4.501,0.9985,0.7661674675092106,5.845,2.113,2.039,0.957,0.6714,2.209,4.991,5.521,0.572,5.404,5.333,2.5986722889591007
4.42,0.9155,0.9905466271456819,5.854,2.266,1.996,1.077,0.6006,2.406,5.048,5.432,0.681,5.67,5.457,2.640553885595474
1.207,2.214,-1.3392850981021887,2.531,0.2515,0.2173,0.1819,0.1428,0.1562,0.9436,0.9546,0.678,2.908,5.453,0.6782179084914843
1.257,2.251,-1.3460333435047893,2.567,0.1794,0.2112,0.1978,0.04517,0.3577,0.9766,1.096,0.928,2.9,5.737,0.7267363880412677
1.139,2.297,-1.3519380582320648,2.546,0.2502,0.09521,0.2258,0.1855,0.1477,0.9595,1.029,0.674,2.893,5.449,0.6830809951473279
1.232,2.201,-1.216973150180052,2.556,0.2869,0.09521,0.1721,0.1733,0.1855,0.9485,0.9229,0.822,3.053,5.616,0.698203070818329
1.25,2.307,-1.2777073588034578,2.361,0.2686,0.06226,0.01831,0.1636,0.1636,1.064,0.9546,0.701,2.981,5.479,0.6696885534330451
1.154,2.269,-1.3890534079463681,2.437,0.1648,-0.1062,0.0708,0.1746,0.2026,0.9753,0.9473,0.222,2.849,4.937,0.5935122160044694
1.238,2.314,-1.353625119582715,2.422,0.2612,0.09766,-0.01587,0.127,0.1428,0.9851,0.9802,0.234,2.891,4.951,0.6193720733681072
1.219,2.384,-1.2414355397644792,2.487,0.271,0.2783,0.1965,0.009766,0.2734,1.1,0.9448,0.56,3.024,5.32,0.7068608716862933
1.241,2.393,-1.3106050551411357,2.467,0.1562,0.2588,0.249,0.1648,0.3186,1.038,1.057,0.282,2.942,5.005,0.6928995787382387
1.249,2.316,-1.4809982515568019,2.357,0.1685,0.1624,0.1501,0.26,0.2222,0.9717,0.9436,0.438,2.74,5.182,0.6464584790369331
